adj_score,rd_score,player_name,round_date,year,month,quarter,season_phase,tournament_tier_field_strength,tournament_tier_top50_av,elo_rating_pre_rd,wd_percentage_adj,tour,field_strength,tour_tier,tour_0_to_1_year_count,tour_0_to_1_year_percentage,tour_0_to_1_year_mode,tour_0_to_3_year_count,tour_0_to_3_year_percentage,tour_0_to_3_year_mode,tour_0_to_5_year_count,tour_0_to_5_year_percentage,tour_0_to_5_year_mode,tour_0_to_10_year_count,tour_0_to_10_year_percentage,tour_0_to_10_year_mode,1_tournament_mean,1_tournament_count,1_rd_mean,days_since_1_rd,2_to_4_rd_mean,5_to_12_rd_mean,13_to_28_rd_mean,29_to_60_rd_mean,61_to_120_rd_mean,121_to_240_rd_mean,1_to_20_rd_mean,0_to_20_rd_sd,days_since_20_rd,1_to_20_rd_mean_days_penalty_15x,1_to_50_rd_mean,1_to_50_rd_median,1_to_50_rd_sd,days_since_50_rd
67.86700211,66,jeong eun5 lee,2024-12-15,2024,12,4,late_season,3,4,1269,0.0025,lpga,72.70786519,2,48,0.71641791,lpga,162,0.822335025,lpga,250,0.859106529,lpga,457,0.375822368,lpga,73.38356378,9,74.09067553,1,73.69773208,73.03699438,72.75398553,72.52231845,72.27344943,72.01975774,73.07924869,2.788961865,36.0,70.57924869,72.8461297,72.57951865,2.84123938,220
73.00844166,71,jing yan,2024-12-15,2024,12,4,late_season,3,4,1273,0.0025,lpga,72.70786519,2,55,0.670731707,lpga,112,0.565656566,lpga,212,0.668769716,lpga,506,0.605988024,lpga,72.59843887,9,73.04714489,1,72.02432334,73.19453029,71.63941609,72.10816741,72.88346146,74.1833641,72.54211045,2.182471711,38.0,70.10878913,72.11374293,72.07452734,2.108366476,176
73.00844166,71,kum-kang park,2024-12-15,2024,12,4,late_season,3,4,1272,0.005085257,lpga,72.70786519,2,8,0.101265823,epson,34,0.17,epson,34,0.111842105,epson,36,0.105571848,epson,70.95122595,9,66.78596104,1,71.6443192,70.34773475,73.12667505,73.05223973,74.29044431,73.08899695,71.06786028,2.526753384,71.0,69.28768779,72.36946282,72.59350515,2.913225901,190
74.03672957,72,maddie szeryk,2024-12-15,2024,12,4,late_season,3,4,1270,0.003270169,lpga,72.70786519,2,18,0.24,epson,123,0.572093023,lpga,123,0.398058252,lpga,140,0.345679012,lpga,74.08229317,9,73.04714489,1,74.07307489,74.66638641,72.73769573,73.50277486,73.0666049,73.75400281,73.92930661,2.472933695,71.0,72.14913412,73.5834297,73.39834128,2.504608356,190
71.98015375,70,manon de roey,2024-12-15,2024,12,4,late_season,3,4,1272,0.0025,lpga,72.70786519,2,14,0.132075472,let,45,0.173745174,let,58,0.158469945,let,61,0.088534107,let,69.95810467,9,69.91655297,1,69.28974265,70.08618634,71.12990022,72.21928952,72.66906499,72.77440959,69.94025566,1.149791091,,,71.15842632,70.86070983,2.325056587,147
71.98015375,70,maria fassi,2024-12-15,2024,12,4,late_season,3,4,1271,0.0025,lpga,72.70786519,2,60,0.64516129,lpga,189,0.741176471,lpga,291,0.77393617,lpga,330,0.760368664,lpga,73.45302678,9,80.35185938,1,71.03461415,74.71926074,72.41312129,72.98260374,72.23593601,72.04644248,73.57948879,4.815787736,43.0,71.29201023,73.27902083,73.5045646,4.088630193,182
69.92357793,68,maude-aimee leblanc,2024-12-15,2024,12,4,late_season,3,4,1274,0.013257659,lpga,72.70786519,2,57,0.74025974,lpga,136,0.804733728,lpga,136,0.599118943,lpga,294,0.421203438,lpga,72.70319014,9,74.09067553,1,72.34082919,72.74668669,72.80743119,73.0115512,72.60609535,72.63557714,72.83662589,1.683858608,86.0,71.21913429,72.68891076,72.5717267,2.300567278,215
73.00844166,71,pauline roussin bouchard,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,18,0.204545455,let,139,0.545098039,lpga,147,0.5,lpga,147,0.471153846,lpga,69.37664236,9,66.78596104,1,69.29440398,69.4836398,70.34927638,72.65630062,72.70909325,72.34181667,69.65946103,2.107093123,43.0,67.37198248,70.58300064,70.38155916,2.646123441,163
73.00844166,71,pernilla lindberg,2024-12-15,2024,12,4,late_season,3,4,1271,0.0025,lpga,72.70786519,2,53,0.706666667,lpga,168,0.785046729,lpga,289,0.818696884,lpga,700,0.520446097,lpga,73.74149576,9,72.00361425,1,74.08239755,74.22392322,71.97913295,73.10818463,72.32216755,72.20355265,73.356091,2.995788505,78.0,71.65767545,73.12658593,72.67163032,3.041111397,231
71.98015375,70,polly mack,2024-12-15,2024,12,4,late_season,3,4,1267,0.0025,lpga,72.70786519,2,55,0.6875,lpga,107,0.50952381,lpga,107,0.449579832,lpga,107,0.449579832,lpga,73.14130401,9,70.96008361,1,73.70180663,73.17029442,71.94507447,73.17640758,72.92084695,72.91181192,73.07876804,2.55047462,38.0,70.64544672,72.67092883,72.0723148,2.713944142,227
75.06501748,73,robyn choi,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,62,0.720930233,lpga,68,0.289361702,epson,76,0.224852071,epson,110,0.249433107,epson,72.38560426,9,73.04714489,1,71.36451721,73.2047834,71.30247255,72.61845348,72.13024342,73.03084571,72.26234399,2.923575854,38.0,69.82902267,72.1767882,72.14513218,2.703767526,191
74.03672957,72,sarah duhig-white,2024-12-15,2024,12,4,late_season,3,4,1272,0.0025,lpga,72.70786519,2,4,0.059701493,epson,4,0.021978022,epson,4,0.015037594,epson,4,0.014925373,epson,73.14829399,9,73.04714489,1,72.66937407,73.02899678,74.09127222,74.43584905,74.52661692,75.05169102,73.28935316,1.510770148,73.0,71.53373595,73.83978538,73.57966735,2.460726188,220
74.03672957,72,sofia garcia,2024-12-15,2024,12,4,late_season,3,4,1274,0.005216996,lpga,72.70786519,2,54,0.65060241,lpga,95,0.477386935,lpga,95,0.384615385,lpga,95,0.384615385,lpga,72.94325609,9,73.04714489,1,72.36821039,73.48973618,72.13765256,72.82392023,73.45988371,73.79696123,72.68804003,1.99356267,36.0,70.18804003,72.80366717,72.39228906,2.612202627,196
73.00844166,71,sophia popov,2024-12-15,2024,12,4,late_season,3,4,1273,0.0025,lpga,72.70786519,2,46,0.666666667,lpga,80,0.727272727,lpga,186,0.718146718,lpga,263,0.422150883,lpga,73.96723737,9,75.13420617,1,73.3691872,74.07788035,73.88829403,73.21637233,72.81341997,71.71088047,73.71005447,2.028828782,79.0,72.02242262,73.3489206,73.59084727,2.513817962,234
75.06501748,73,yu liu,2024-12-15,2024,12,4,late_season,3,4,1278,0.0025,lpga,72.70786519,2,60,0.714285714,lpga,210,0.823529412,lpga,329,0.835025381,lpga,508,0.552173913,lpga,69.87390299,9,72.00361425,1,67.96022096,71.14400211,70.31847685,72.3177809,71.47648871,71.85340526,70.36542735,4.499756324,64.0,68.49042735,71.34556566,71.80788587,3.840284212,260
73.61206975,72,sherman santiwiwatthanaphong,2024-12-15,2024,12,4,late_season,11,15,1273,0.0025,clpga,76.50351607,17,14,0.269230769,klpga,37,0.25170068,clpga,37,0.197860963,thai,44,0.087649402,thai,72.95985297,3,76.97729052,1,74.79552328,74.69781843,74.34410741,74.17978117,74.25123683,75.01045302,74.89277473,2.56195461,177.0,73.76530569,74.56138389,74.08945537,2.46878692,297
